Project;Type;Platform;янв.13;фев.13;мар.13;апр.13;май.13;июн.13;июл.13;авг.13;сен.13;окт.13;ноя.13;дек.13;янв.14;фев.14;мар.14;апр.14;май.14;июн.14;июл.14;авг.14;сен.14;окт.14;ноя.14;дек.14;янв.15;фев.15;мар.15;апр.15;май.15;июн.15;июл.15;авг.15;сен.15;окт.15;ноя.15;дек.15;янв.16;фев.16;мар.16;апр.16;май.16;июн.16;июл.16;авг.16;сен.16;окт.16;ноя.16;дек.16;янв.17;фев.17;мар.17;апр.17;май.17;июн.17;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17;янв.18;фев.18;мар.18
Воронеж;Франчайзи;ПК;41294;41625;44546;43648;41604;41117;41343;40360;41246;41505;40627;39963;38775;38085;38631;36687;34966;34505;33684;31123;33251;33945;33417;33049;31395;30784;31674;30167;28705;28609;28198;27769;27659;27852;27261;26478;25482;25551;25802;24418;23267;22661;21732;21807;21659;21635;21108;20510;19846;19175;19768;18415;17922;16953;15930;15758;15668;16062;15590;15133;14656;14161;13880
Днепр;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7727;14642;18493;18664;21886;23735;25744;25743;26529;28274;29942;30200;30516;32273;32976;33551;36565;37870;39878;43543;42374;44701;47853;47366;46978;48138;48866;48080;56870;59040;58821;58469;58173;58649;60965;61704;66727;67087;71844;74062;77539;80868;82274;83059;79535;77782;83356
Днепр;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2533;20978;52852;47498;61711;67828;82599;94297;82133;104097;118819;111087;106546;123428;122597;126312;134016;137520;146035;173735;159490;185169;184569;166805;164589;143816;110818;111601;123577;141873;147578;135853;138963;135325;156664;146289;156022;153504;169908;173523;192629;201532;206513;208154;210536;214465;228144
Днепр;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1477;2321;2917;2312;2609;2825;2963;2970;2838;3017;3265;3082;3047;2929;3022;2995;3104;3095;3168;3068;2920;3069;3022;2812;2690;2602;2541;2478;2600;2515;2438;2283;2172;2198;2205;2041;2054;1882;1822;1731;1815;1768;1791;1621;1632;1587;1547
Донецк;Франчайзи;Мобилка;5548;7813;10618;13596;15065;16725;19821;22066;23126;23656;25005;26710;26972;25704;26624;25698;25792;24475;23421;16538;19034;19669;18454;16879;18106;17517;16374;16119;17303;17856;18587;19201;18013;19108;19072;19850;20341;20413;21751;21809;22171;22100;23520;23646;26057;25620;24742;25011;27743;26859;26534;27411;28458;29072;21906;18478;16186;14626;13471;12704;12036;10777;10554
Донецк;Франчайзи;Онлайн;3946;12049;16573;21937;20346;22831;28549;27687;31296;36880;40571;43174;53276;51913;49251;34245;25232;26097;27674;18204;16211;19416;24242;25524;33094;32987;32320;32930;30808;47566;37149;34565;34190;38622;37156;35969;37909;41121;42573;35268;37409;40645;38909;40263;38398;42910;44013;41991;44958;46058;49964;48651;52313;54736;21581;11328;8513;6761;3757;754;547;0;0
Донецк;Франчайзи;ПК;4442;5281;6614;9210;8474;8589;8865;8804;8685;8813;8946;8761;8532;8501;8535;7988;7513;6997;6572;4686;4574;5152;5006;4648;5275;4883;4059;3879;3840;3962;3870;3870;3495;3720;3748;3444;3405;3441;3618;3296;3138;3165;3140;3182;3036;3149;3005;2846;3150;3148;2992;2707;2617;2557;2235;2093;2013;1989;1675;1156;1038;842;740
Дубай. Шарджа. Аджман;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4983;6776;12419;16480;16460;17198;18740;22580;25700;32248;24533;23304;23714;23561;25826;27681;32616;31929;32040;34041;34373;34923;32587;39610;36767;40091;38062;39498;46342;52261;61354;69469;71425;94906;81360;75736;80936;84627;89377;94784;100215;102913;105420;115462
Дубай. Шарджа. Аджман;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29484;56596;87889;133386;118711;150850;187371;286366;393443;383391;284840;259343;245394;373600;428639;274884;526273;278553;256276;244729;227012;272027;219060;222006;248000;223306;239061;216627;245311;300627;294171;297664;305183;298230;272308;372414;352780;351737;371942;354952;345981;357818;335889;364970
Дубай. Шарджа. Аджман;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;662;763;976;1109;1035;1025;1052;1142;1145;1146;1036;1023;1100;1072;1099;1114;1068;1089;1003;1109;1016;1033;874;913;945;864;951;939;820;844;790;875;760;713;573;632;598;606;680;659;569;591;550;521
Екатеринбург;Филиал;Мобилка;83262;96429;120670;129098;146805;154658;171442;190966;209372;230739;245539;262292;278922;282853;313077;320896;328476;338234;354681;377724;390380;395188;389155;397106;398632;396000;416182;411290;414606;407032;425694;436598;444807;460141;459384;469465;471644;473956;487156;485807;478276;484367;495086;501911;531778;534345;518587;523305;522995;518540;543274;536223;544958;555301;581605;598698;589599;595230;591846;593071;588095;573787;604876
Екатеринбург;Филиал;Онлайн;115561;130821;127088;126500;115667;122993;148498;153591;160002;216830;217215;207749;195095;182637;209281;201458;175688;170735;175436;185660;203854;232124;237271;252315;267893;317877;396335;422680;430580;473006;481304;486466;496484;513439;472718;500798;456016;474775;508513;490812;464073;514891;465910;469061;455037;479670;468685;490406;463813;460516;502109;483236;494101;487784;547924;582172;599721;635135;638903;640042;594482;598891;672402
